[2025-10-23 11:31:25] Target: QSO_sim_z0.8137_MgIIBlueWide_53.1686m3.3026.fits, z=0.8137072324752808, MAG=18.942787170410156, fobs=0.0, Warning: 13063 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:26] Target: QSO_sim_z0.8869_MgIIBlueWide_185.1167p4.4935.fits, z=0.8868734240531921, MAG=20.575149536132812, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:26] Target: QSO_sim_z0.8869_MgIIBlueWide_185.1167p4.4935.fits, z=0.8868734240531921, MAG=20.575149536132812, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:27] Target: QSO_sim_z1.6_MgIIBlueDeep_356.2197m33.112.fits, z=1.600000023841858, MAG=18.32871437072754, fobs=0.0, Warning: 5705 NaN values in target flux replaced with floor value
[2025-10-23 11:31:27] Target: QSO_sim_z1.6_MgIIBlueDeep_356.2197m33.112.fits, z=1.600000023841858, MAG=18.32871437072754, fobs=0.0, Warning: 5705 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:27] Target: QSO_sim_z3.2_MgIIBlueDeep_27.9055m32.3822.fits, z=3.200000047683716, MAG=21.168142318725586, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:27] Target: QSO_sim_z3.2_MgIIBlueDeep_27.9055m32.3822.fits, z=3.200000047683716, MAG=21.168142318725586, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:30] Target: QSO_sim_z1.7411_MgIIBlueDeep_50.3273m31.7.fits, z=1.7411220073699951, MAG=18.15182876586914, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:30] Target: QSO_sim_z1.7411_MgIIBlueDeep_50.3273m31.7.fits, z=1.7411220073699951, MAG=18.15182876586914, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:30] Target: QSO_sim_z1.9126_MgIIBlueDeep_191.4275p0.525.fits, z=1.9126441478729248, MAG=20.054119110107422, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:30] Target: QSO_sim_z1.9126_MgIIBlueDeep_191.4275p0.525.fits, z=1.9126441478729248, MAG=20.054119110107422, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:31] Target: QSO_sim_z4.7_MgIIBlueDeep_39.1041m28.0445.fits, z=4.699999809265137, MAG=16.186138153076172, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:31] Target: QSO_sim_z4.7_MgIIBlueDeep_39.1041m28.0445.fits, z=4.699999809265137, MAG=16.186138153076172, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:34] Target: QSO_sim_z0.7668_MgIIBlueWide_191.0854m6.5964.fits, z=0.7667742967605591, MAG=20.321117401123047, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:34] Target: QSO_sim_z0.7668_MgIIBlueWide_191.0854m6.5964.fits, z=0.7667742967605591, MAG=20.321117401123047, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:34] Target: QSO_sim_z2.65_DLABlue_23.9002m21.7154.fits, z=2.6500000953674316, MAG=20.759281158447266, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:34] Target: QSO_sim_z2.65_DLABlue_23.9002m21.7154.fits, z=2.6500000953674316, MAG=20.759281158447266, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:34] Target: QSO_sim_z2.9932_MgIIBlueDeep_191.8208p3.1896.fits, z=2.9931893348693848, MAG=21.475303649902344, fobs=0.0, Warning: 5705 NaN values in target flux replaced with floor value
[2025-10-23 11:31:34] Target: QSO_sim_z2.9932_MgIIBlueDeep_191.8208p3.1896.fits, z=2.9931893348693848, MAG=21.475303649902344, fobs=0.0, Warning: 5705 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:35] Target: QSO_sim_z2.2148_MgIIBlueDeep_187.3926m1.2095.fits, z=2.214831829071045, MAG=20.292041778564453, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:35] Target: QSO_sim_z2.2148_MgIIBlueDeep_187.3926m1.2095.fits, z=2.214831829071045, MAG=20.292041778564453, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
